"","Symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"3818","DDN",114.011682519021,4.65383828410666,0.215696480598903,21.5758656385343,3.02760570987017e-103,1.06981709260642e-100
"3819","DDO",112.263646947601,-0.50751776729948,0.241400526414461,-2.10238881761228,0.0355192299463804,0.0472874143736702
"3820","DDOST",11668.9454236483,0.379566105624501,0.0758490160928873,5.00423242352506,5.60850554139278e-07,1.2509976655387e-06
"3821","DDR1",11537.8574785217,-0.0736905055208971,0.0890049454058442,-0.827937202645129,0.407706064666798,0.452885098095066
"3822","DDR2",883.317535261246,-2.04792979930417,0.216425265939021,-9.46252643109231,3.00591069888901e-21,1.87576347917058e-20
"3823","DDRGK1",2577.35784199407,0.520832749398252,0.108885460364874,4.78330851201757,1.72433156698166e-06,3.70301186472221e-06
"3824","DDT",865.627273526704,-0.679538548185389,0.135069507121197,-5.03102856202507,4.8785545516503e-07,1.09205706414862e-06
"3825","DDTL",79.5638530132131,0.208423579628491,0.136605224750034,1.52573651564114,0.127075496646248,0.154940054765167
"3826","DDX1",4285.13416215635,0.236165286779364,0.0588956346897186,4.00989458766443,6.07458606263285e-05,0.000112160956029083
"3827","DDX10",1186.9310783041,1.06333802448943,0.0807902737785087,13.1617083933226,1.45752530388045e-39,2.80921439535412e-38
"3828","DDX11",1092.5022503335,1.17375356785233,0.111999936714598,10.4799484917865,1.06801894708467e-25,8.86236270132249e-25
"3829","DDX17",11490.7645287053,-0.0516079762519519,0.0569447031402777,-0.906282295033143,0.364786454199407,0.41007045663283
"3830","DDX18",3854.20735997222,0.653394375828818,0.0724559258790786,9.01781832060589,1.91872197922986e-19,1.06664842640831e-18
"3831","DDX19A",1326.14880782667,0.451365441515227,0.0511395648468844,8.82614943765453,1.0834124431768e-18,5.71741084278836e-18
"3832","DDX19B",524.790482121996,-0.19192184275171,0.0633748854795528,-3.02835802068047,0.00245886588615821,0.00380136945539416
"3833","DDX20",621.165235680622,0.374586013327637,0.0652301046052429,5.74253277063624,9.32708209873813e-09,2.41816935916688e-08
"3834","DDX21",5826.77786762341,1.16802636691496,0.0905359806291585,12.9012394718435,4.42915319790819e-38,7.79282856739842e-37
"3835","DDX23",4752.74364310088,0.233530685671718,0.050344162279766,4.63868450872163,3.50633823413466e-06,7.3141068489925e-06
"3836","DDX24",3902.4405277337,-0.0467757155366537,0.0597006354431322,-0.783504483485939,0.433330921878285,0.478342060916211
"3837","DDX25",2.36261800275292,-1.95173077023635,0.283945068821287,-6.87362093780454,6.25923965989163e-12,2.05264818003523e-11
"3838","DDX26B",317.554391889814,-0.516179650700347,0.133526427453579,-3.86574897976508,0.00011074880138704,0.000199195166524452
"3839","DDX27",3623.47068829553,1.10101522413516,0.118091743487616,9.32338867747022,1.1268267829695e-20,6.7749411789953e-20
"3840","DDX28",715.493408711328,0.688686432653781,0.0884997524823609,7.78178936478997,7.15058536405474e-15,2.91891885342317e-14
"3841","DDX31",729.365648484636,1.13533744300304,0.0575353877313284,19.7328546442531,1.12627258027377e-86,2.72895846200334e-84
"3842","DDX39A",4019.49196621398,1.16705958637,0.105041280333999,11.1104851603018,1.11551778421958e-28,1.10580345634999e-27
"3843","DDX39B",2455.20528976248,0.682768751408868,0.115405927256162,5.91623643292905,3.29391626316260e-09,8.86373373623684e-09
"3844","DDX3X",9502.29684821165,-0.203123864060251,0.0731980743907643,-2.77498917493217,0.00552035452422837,0.00817878521011857
"3845","DDX3Y",600.238862186282,-0.347560826355079,0.511172762532098,-0.679928297887848,0.496549862774283,0.540667793703191
"3846","DDX41",2721.57965768857,0.342506709463818,0.0839481505195039,4.07997921746045,4.50397273656351e-05,8.43177500936574e-05
"3847","DDX42",3747.62188883641,0.0782786602724942,0.0588164536767059,1.33089731493785,0.183222800871841,0.217957772870479
"3848","DDX43",42.2963136240426,0.476298740200163,0.383250074129812,1.2427883837508,0.213945824210263,0.251768204012369
"3849","DDX46",2298.38425291419,0.223094163879156,0.0681134189914419,3.27533351258123,0.0010553729981196,0.00170105306672114
"3850","DDX47",54.1213270105975,0.624667232323819,0.12429625402991,5.02563200475456,5.0177727192851e-07,1.12233209932473e-06
"3851","DDX49",2046.23701500368,0.535771815283911,0.0858311930240927,6.24215738366261,4.31576369248063e-10,1.23983177486727e-09
"3852","DDX5",14349.177177663,0.162103707910396,0.0554382367267212,2.9240415547391,0.0034551861776253,0.00524509198592166
"3853","DDX50",1320.51467662636,0.27142016121347,0.0562930517162708,4.82155706500842,1.42441958752939e-06,3.0792226133171e-06
"3854","DDX51",1034.85938771304,0.89614181474255,0.0907129269218656,9.87887664030981,5.14059346675795e-23,3.59100518079413e-22
